programmeName,teacherId,teacherName,departmentName
"""P-01""","""19620522-0023""","""Teacher23""","""D1"""
"""P-42""","""19620831-0024""","""Teacher24""","""D5"""
"""P-41""","""19580218-0007""","""Teacher7""","""D5"""
"""P-34""","""19610918-0027""","""Teacher27""","""D4"""
"""P-32""","""19570826-0012""","""Teacher12""","""D4"""
"""P-33""","""19570828-0008""","""Teacher8""","""D4"""
"""P-31""","""19650303-0019""","""Teacher19""","""D4"""
"""P-21""","""19570615-0011""","""Teacher11""","""D3"""
"""P-12""","""19610623-0005""","""Teacher5""","""D2"""
"""P-13""","""19690408-0009""","""Teacher9""","""D2"""
"""P-11""","""19620424-0026""","""Teacher26""","""D2"""
"""P-14""","""19560812-0016""","""Teacher16""","""D2"""
"""P-73""","""19600814-0002""","""Teacher2""","""D8"""
"""P-71""","""19610620-0006""","""Teacher6""","""D8"""
"""P-72""","""19660630-0020""","""Teacher20""","""D8"""
"""P-74""","""19601021-0018""","""Teacher18""","""D8"""
"""P-61""","""19680712-0028""","""Teacher28""","""D7"""
"""P-52""","""19611219-0014""","""Teacher14""","""D6"""
"""P-53""","""19600905-0003""","""Teacher3""","""D6"""
"""P-51""","""19580515-0017""","""Teacher17""","""D6"""
"""P-54""","""19630126-0001""","""Teacher1""","""D6"""
